Entity,Code,Year,Major depression
Andean Latin America,AND_LATAM,2008,0
Asia Pacific,ASP,2008,80.8
Australasia,AUS,2008,100
Caribbean,CAR,2008,9.1
Central Asia,CSA,2008,0
Central Europe,CEU,2008,16
Central Latin America,CLA,2008,49.8
Central Sub-Saharan Africa,CSSA,2008,0
East Asia,EAS,2008,12.2
East Sub-Saharan Africa,ESSA,2008,1.3
Eastern Europe,EEU,2008,23.6
North Africa/Middle East,NAME,2008,47
North America,NAM,2008,100
Oceania,OCN,2008,0
South Asia,SAS,2008,1.7
Southeast Asia,SEAS,2008,14.5
Southern Latin America,SLAT,2008,16.5
Southern Sub-Saharan Africa,SSSA,2008,0.1
Tropical Latin America,TLAT,2008,9.7
West Sub-Saharan Africa,WSSA,2008,46.6
Western Europe,WEU,2008,73.6
World,OWID_WRL,2008,35.4
