Entity,Code,Year,Nearly every day,More than half the days,Several days,Not at all
Appetite change,APP_CHG,2014,4.6,5.1,15.5,74.8
Average across symptoms,AVG_SYM,2014,4.4,4.3,15,76.3
Depressed mood,DEP_MOOD,2014,3.6,3.9,16.8,75.7
Difficulty concentrating,DIFF_CONC,2014,3.5,3.6,10.9,82.1
Loss of interest,LOSS_INT,2014,4.4,5.4,16.3,73.8
Low energy,LOW_ENG,2014,9,7.8,34,49.1
Low self-esteem,LOW_SELF,2014,3,2.9,11.5,82.6
Psychomotor agitation,PSY_AGIT,2014,1.9,2.5,6.8,88.8
Sleep problems,SLP_PROB,2014,9.2,6.5,20.9,63.3
Suicidal ideation,SUIC_IDEA,2014,0.6,0.6,2.3,96.6
