Entity,Code,Year,Number of countries with primary data on prevalence of mental disorders
Alcohol use disorders,AUD,2019,58
Amphetamine use disorders,AMPH_UD,2019,58
Anorexia nervosa,ANX_NRV,2019,27
Anxiety disorders,ANX_DIS,2019,58
Attention-deficit hyperactivity disorder,ADHD,2019,172
Autism spectrum disorders,ASD,2019,34
Bipolar disorder,BIP_DIS,2019,41
Bulimia nervosa,BUL_NRV,2019,31
Cannabis use disorders,CAN_UD,2019,121
Cocaine use disorders,COC_UD,2019,68
Dysthymia,DYST,2019,37
Major depressive disorder,MDD,2019,111
Opioid use disorders,OPI_UD,2019,31
Other drug use disorders,OTH_UD,2019,2
Personality disorders,PER_DIS,2019,2
